step,time,body_id,mass,x,y,z,vx,vy,vz
26,1.2999999999999943,1,1.0,0.7960918484700426,0.6051889781009662,0.0,,,
27,1.3499999999999932,0,1.0,-0.7807156450841874,-0.6249001625942091,0.0,,,
27,1.3499999999999932,1,1.0,0.7807156450841874,0.6249001625942091,0.0,,,
28,1.3999999999999921,0,1.0,-0.7648515504110467,-0.6442208293080864,0.0,,,
28,1.3999999999999921,1,1.0,0.7648515504110467,0.6442208293080864,0.0,,,
29,1.449999999999991,0,1.0,-0.7485094792602853,-0.6631389049599825,0.0,,,
29,1.449999999999991,1,1.0,0.7485094792602853,0.6631389049599825,0.0,,,
30,1.49999999999999,0,1.0,-0.7316996451308115,-0.68164256792497,0.0,,,
30,1.49999999999999,1,1.0,0.7316996451308115,0.68164256792497,0.0,,,
31,1.549999999999989,0,1.0,-0.7144325538241317,-0.6997202556234671,0.0,,,
31,1.549999999999989,1,1.0,0.7144325538241317,0.6997202556234671,0.0,,,
32,1.5999999999999879,0,1.0,-0.6967189968750241,-0.7173606717467949,0.0,,,
32,1.5999999999999879,1,1.0,0.6967189968750241,0.7173606717467949,0.0,,,
33,1.6499999999999868,0,1.0,-0.6785700448036521,-0.7345527933161246,0.0,,,
33,1.6499999999999868,1,1.0,0.6785700448036521,0.7345527933161246,0.0,,,
34,1.6999999999999857,0,1.0,-0.6599970401933404,-0.7512858775703981,0.0,,,
34,1.6999999999999857,1,1.0,0.6599970401933404,0.7512858775703981,0.0,,,
35,1.7499999999999847,0,1.0,-0.6410115905983566,-0.7675494686789218,0.0,,,
35,1.7499999999999847,1,1.0,0.6410115905983566,0.7675494686789218,0.0,,,
36,1.7999999999999836,0,1.0,-0.6216255612861354,-0.7833334042744361,0.0,,,
36,1.7999999999999836,1,1.0,0.6216255612861354,0.7833334042744361,0.0,,,
